
<div>visitor [ˈvizitə] n.访问者，客人，来宾，参观者<br>
silence [ˈsailəns] v.使沉默，使安静<br>
rust [rʌst] v.（使）生锈<br>
smuggle [ˈsmʌɡl] v.走私；偷运<br>
gift [ɡift] n.礼品，赠品；天赋，才能<br>
lever [ˈli:və] n.杆，杠杆，手段，途径，工具<br>
mould [məuld] v.浇铸，造型，塑造<br>
suburb [ˈsʌbə:b] n.市郊，郊区<br>
legend [ˈledʒənd] n.传说，传奇<br>
pendulum [ˈpendjuləm] n.摆，钟摆<br>
wife [waif] n.妻子，夫人，太太<br>
objective [əbˈdʒektiv] adj.客观的，真实的<br>
difference [ˈdifərəns] n.差别，差异，分歧<br>
database [ˈdeitəbeis] n.（databank）数据库<br>
speak [spi:k] v.说话；演说，发言；（in）说某种语...<br>
handy [ˈhændi] adj.手边的，近便的；方便的<br>
pace [peis] v.踱步，用步测<br>
bosom [ˈbuzəm] adj.亲密的<br>
grammar [ˈɡræmə] n.语法，语法书<br>
boast [bəust] n.自夸，大话<br>
</div>

<div>overflow [ˌəuvəˈfləu] v.（使）外溢，（使）溢出；溢出，流出...<br>
label [ˈleibəl] v.把…称为；用标签于；用标签标明<br>
cup [kʌp] n.杯子；奖杯，优胜杯；一杯的量<br>
detain [diˈtein] v.耽搁；扣押，拘留<br>
stereo [ˈstiəriəu] adj.立体声（的）<br>
decline [diˈklain] n.下降；斜面，倾斜，衰落<br>
create [kriˈeit] v.创造，创作；引起，造成，建立<br>
skirt [skə:t] n.裙子；边缘，郊区<br>
chaos [ˈkeiɔs] n.混乱，紊乱<br>
fair [fɛə] n.集市，交易会<br>
facility [fəˈsiliti] n.灵巧，熟练；设备，设施，便利条件<br>
terrific [təˈrifik] adj.极好的，非常的，极度的<br>
refreshment [riˈfreʃmənt] n.点心，饮料；精力恢复，爽快<br>
noise [nɔiz] n.喧闹声，噪声，吵嚷声<br>
pedal [ˈpedl] v.踩踏板，骑自行车<br>
ending [ˈendiŋ] n.结尾，结局<br>
alleviate [əˈli:vieit] v.减轻，缓和，缓解（痛苦等）<br>
department [diˈpɑ:tmənt] n.部，局，处，科，部门；系，学部<br>
stream [stri:m] v.流出，涌<br>
acquire [əˈkwaiə] v.获得；学到（知识等）；养成（习惯）<br>
</div>

<div>advantage [ədˈvɑ:ntidʒ] n.优点，长处，有利条件；利益，好处<br>
deck [dek] n.甲板<br>
intense [inˈtens] adj.强烈的；剧烈的；极度的<br>
associate [əˈsəuʃieit] adj.联合的<br>
likewise [ˈlaikwaiz] adv.同样地，照样地；又，也，而且<br>
omit [əuˈmit] v.省略，删去；遗漏，忽略<br>
imaginative [iˈmædʒinətiv] adj.富有想象力的，爱想象的<br>
blood [blʌd] n.血液，血；血统，血亲；血气<br>
driver [ˈdraivə] n.驾驶员<br>
eager [ˈi:ɡə] adj.（for）渴望的，热切的<br>
venture [ˈventʃə] n.冒险事业，拼，闯<br>
round [raund] n.（一）回合<br>
shape [ʃeip] v.成型，塑造<br>
shark [ʃɑ:k] n.鲨鱼<br>
past [pɑːst] prep.（经）过<br>
multitude [ˈmʌltitju:d] n.众多，大量<br>
alone [əˈləun] adv.单独地，独自地；仅仅<br>
slim [slim] v.减轻体重，变苗条<br>
deer [diə] n.鹿<br>
crude [kru:d] adj.天然的，未加工的；未熟的；粗鲁...<br>
</div>

<div>magnitude [ˈmæɡnitju:d] n.大小，数量；巨大，广大<br>
assumption [əˈsʌmpʃən] n.假定，设想；采取；承担；推测；假装<br>
mug [mʌɡ] n.（有柄的）大茶杯<br>
deceit [diˈsi:t] n.欺骗，欺骗行为<br>
weak [wi:k] adj.虚弱的，软弱的；不够标准的；淡...<br>
infant [ˈɪnfənt] n.婴儿，幼儿<br>
indignation [ˌɪndiɡˈneiʃən] n.愤怒，愤慨<br>
below [biˈləu] adv.在下面，向下<br>
bag [bæɡ] v.把…装入袋中；捕获；占有<br>
undo [ˌʌnˈdu] v.松开，解开<br>
perpetual [pəˈpetʃuəl] adj.永久的，永恒的，长期的<br>
badminton [ˈbædmintən] n.羽毛球<br>
justice [ˈdʒʌstis] n.公正，公平；审判，司法<br>
striking [ˈstraikiŋ] adj.显著的；惹人注目的，容貌出众的<br>
expose [ikˈspəuz] v.（to）使暴露；使曝光<br>
