
<div>meteorite [ˈmi:ti:əˌraɪt] n.陨星，陨石<br>
instrument [ˈinstrumənt] n.仪器；工具；乐器<br>
sloping  adj.倾斜的，有坡度的<br>
fragility [frəˈdʒɪləti] n.脆弱<br>
proclaim [prəˈkleim] vt.声明，宣告<br>
appeal [əˈpi:l] vi.吸引；上诉，申请<br>
disperse [disˈpə:s] vt.分散，散开<br>
spinach [ˈspinidʒ] n.菠菜<br>
rattle [ˈrætl] n.拨浪鼓；嘎嘎声<br>
stellar [ˈstelə] adj.星的，星球的<br>
faithful [ˈfeiθful] adj.忠实的<br>
amenable [əˈmi:nəbəl] adj.顺从的；应服从的<br>
alder [ˈɔ:ldə] n.赤杨树<br>
nicotine [ˈnikəti:n] n.尼古丁<br>
denomination [dɪˌnɔməˈneɪʃən] n.宗派，教派；（货币）面额<br>
circumference [səˈkʌmfərəns] n.圆周；周长<br>
helpful [ˈhelpful] adj.给予帮助的，有益的<br>
concerted [kənˈsə:tid] adj.商议好的，协定的<br>
pollinate [ˈpɔləˌneɪt] vt.对…授粉<br>
magnetism [ˈmægnɪˌtɪzəm] n.磁，磁力<br>
</div>

<div>eyewitness [ˈaɪˈwɪtnɪs] n.目击者<br>
worldwide [ˈwə:ldwaid] adj.全世界的<br>
defecate [ˈdefikeit] vi.排粪；通大便<br>
lace [leis] vt.装饰，点缀；系牢，系紧<br>
indifference [ɪnˈdɪfərəns] n.冷漠，不关心<br>
crazy [ˈkreizi] adj.疯狂的，狂热的<br>
calculate [ˈkælkjuleit] vt.计算；估计<br>
fittingly ['fɪtɪŋlɪ] adv.适当地<br>
bellows [ˈbeləuz] n.风箱<br>
concave [kɔnˈkeɪv] adj.凹的<br>
terrestrial [təˈrestri:əl] adj.地球（上）的；陆地的<br>
liberally [ˈlɪbərəli] adv.随意地，不受限制地<br>
bonanza [bəˈnænzə] n.富矿带；幸运，带来好运的事<br>
irresponsible [ˌɪrɪˈspɔnsəbəl] adj.不负责的<br>
healthful [ˈhelθful] adj.有益健康的<br>
stitch [stitʃ] v.缝<br>
penetrate [ˈpenitreit] vt.穿透；渗透<br>
blacksmith [ˈblæksmi:θ] n.铁匠<br>
pave [peiv] vt.铺设，为…铺路<br>
confidence [ˈkɔnfidəns] n.自信；信心<br>
</div>

<div>upscale [ˈʌpˌskeɪl] adj.高档的<br>
domestic [dəˈmestik] adj.家里的，家养的；本国的，国内的<br>
entitled  adj.有资格的<br>
unquestioning [ʌnˈkwestʃənɪŋ] adj.不加疑问的，不犹豫的<br>
insist [inˈsist] vt.坚持认为；坚决主张<br>
receptive [riˈseptiv] adj.善于接受的，能接纳的<br>
beverage [ˈbevəridʒ] n.（除水之外的）饮料<br>
salinity [səˈlɪnəti] n.盐分，盐度<br>
dated [ˈdeɪtɪd] adj.陈旧的，过时的<br>
original [əˈridʒinəl] adj.最初的，原始的；独创的<br>
refrigerant [rɪˈfrɪdʒərənt] n.制冷剂<br>
intensive [inˈtensiv] adj.加强的；集中的，密集的<br>
torrent [ˈtɔrənt] n.骤雨；急流，洪流<br>
dense [dens] adj.密集的，浓厚的<br>
crossing [ˈkrɔsiŋ] n.横渡，交叉口<br>
impact [ˈimpækt] n.影响；撞击，冲击<br>
obligation [ˌɔbliˈɡeiʃən] n.义务，责任<br>
interfere [ˌɪntəˈfiə] vi.妨碍；干涉<br>
recall [riˈkɔ:l] vt.忆起，记忆<br>
paramount [ˈpærəˌmaʊnt] adj.最重要的；最高权力的<br>
</div>

<div>dental [ˈdentəl] adj.牙齿的<br>
frigid [ˈfrɪdʒɪd] adj.寒冷的；冷淡的<br>
outrage [ˈautreidʒ] vt.激怒，引起…义愤<br>
seasonal [ˈsi:zənəl] adj.季节的，季节性的<br>
occupy [ˈɔkjupai] vt.居住；占领，占有<br>
restriction [rɪˈstrɪkʃən] n.限制，约束<br>
antiquity [ænˈtɪkwɪti:] n.古迹；古物；古代；古老<br>
oxygen [ˈɔksidʒən] n.氧气<br>
abrasion [əˈbreɪʒən] n.磨（擦）破；擦伤处<br>
heritage [ˈheritidʒ] n.遗产，继承物；传统<br>
lengthy [ˈleŋkθi:] adj.漫长的；冗长的<br>
sensory [ˈsensəri:] adj.感觉的，感官的<br>
semimolten  adj.半熔化的<br>
packed [pækt] adj.压紧的，压实的；异常拥挤的<br>
trend [trend] n.倾向，趋势<br>
spotless [ˈspɔtlɪs] adj.没有污点的<br>
incredulity [ˌinkriˈdju:liti] n.怀疑，不相信<br>
access [ˈækses] n.接触，接近；入口，通道<br>
gulp [ɡʌlp] vt.吞；吞咽<br>
oyster [ˈɔistə] n.[动]牡蛎，蚝<br>
</div>

<div>exit [ˈeksit] n.出口<br>
reinterpretation  n.重新解释，纠正性说明<br>
fungi [ˈfʌŋgaɪ] n.菌类，蘑菇<br>
outspoken [aʊtˈspəʊkən] adj.坦率直言的<br>
adjoin [əˈdʒɔin] vt.毗连，邻近<br>
caution [ˈkɔ:ʃən] vt.警告<br>
scope [skəup] n.范围，界限<br>
residence [ˈrezidəns] n.居住，住处<br>
aroma [əˈrəʊmə] n.香味，芬芳，芳香<br>
prohibitively [prəʊˈhɪbɪtɪvlɪ] adv.令人望而却步地；（价格）极高地<br>
zealous [ˈzeləs] adj.热心的；狂热的<br>
surcharge [ˈsɜ:ˌtʃɑ:dʒ] n.额外费用，附加费<br>
sanctimonious [ˌsæŋktəˈməʊni:əs] adj.假装神圣的，伪善的<br>
consistency [kənˈsɪstənsi:] n.浓度，稠度<br>
cathedral [kəˈθi:drəl] n.总教堂，大教堂<br>
version [ˈvə:ʃən] n.一种描述<br>
pledge [pledʒ] vt.发誓；保证<br>
instinctive [ɪnˈstɪŋktɪv] adj.天生的，本能的<br>
sector [ˈsektə] n.扇形面；防御地区<br>
cylinder [ˈsilində] n.圆筒，圆柱体<br>
</div>

<div>bust [bʌst] n.半身像，半身雕像<br>
admire [ədˈmaiə] vt.钦佩，崇拜；欣赏<br>
duplicate [ˈdju:plikit] vt.复制；复印<br>
osprey [ˈɔspri:] n.鱼鹰<br>
conscious [ˈkɔnʃəs] adj.有意识的，神志清醒的<br>
respiration [ˌrespəˈreɪʃən] n.呼吸<br>
sporadically [spəˈrædɪkli] adv.偶发地，零星地<br>
magical [ˈmædʒɪkəl] adj.魔术的，不可思议的<br>
heaven [ˈhevn] n.天，天堂<br>
topographical [ˌtɔpəˈgræfɪkl] adj.地形学的<br>
resolve [riˈzɔlv] vt.解决<br>
sociable [ˈsəuʃəbl] adj.好交际的，友善的<br>
justice [ˈdʒʌstis] n.正义，公平，公正<br>
amendment [əˈmendmənt] n.改动，修正<br>
renewal [rɪˈnu:əl] n.恢复；更新<br>
lay [lei] vt.产卵，下蛋<br>
resident [ˈrezidənt] n.居民<br>
striking [ˈstraikiŋ] adj.引人注目的，惊人的<br>
correlate [ˈkɔrileit] vt.使相互关联；使相互影响<br>
unpromising [ˈʌnˈprɔmisiŋ] adj.无前途的，没有希望的<br>
</div>

<div>reliant [rɪˈlaɪənt] adj.依靠的，信赖自己的<br>
linen [ˈlinin] n.亚麻布，亚麻制品<br>
outweigh [aʊtˈweɪ] vt.比…重；比…更重要<br>
abuse [əˈbju:s] vt.滥用；虐待<br>
presidency [ˈprezɪdənsi:] n.总统职位；总统任期<br>
ozone [ˈəuzəun] n.[化]臭氧<br>
long-standing [ˈlɔŋstædiŋ] adj.长期存在的<br>
starch [stɑ:tʃ] n.淀粉；淀粉食物<br>
photosynthesis [ˌfəʊtəʊˈsɪnθɪsɪs] n.光合作用<br>
incongruity [ˌɪnkɔŋˈgru:ɪtɪ] n.不一致，不和谐<br>
vein [vein] n.静脉<br>
cargo [ˈkɑ:ɡəu] n.货物<br>
